일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-03-19,64853.28,3454.74,334339.2,15231.06,121300.5,539178.78
2022-03-20,92207.52,3356.82,70704,8028.9,58774.26,233071.5
2022-03-21,77323.68,1585.98,31305.6,8579.88,35680.44,154475.58
2022-03-22,97668,1780.74,43113.6,10811.52,46669.26,200043.12
2022-03-23,24124.32,1084.5,23443.2,3915.72,23509.62,76077.36
2022-03-24,44500.32,847.08,45532.8,2307.78,15576.72,108764.7
2022-03-25,184865.76,2630.16,278812.8,11569.32,84097.74,561975.78
2022-03-26,134527.68,83.7,461059.2,16421.22,134522.88,746614.68
2022-03-27,98066.88,163.98,171043.2,10637.82,112404.24,392316.12
2022-03-28,78670.08,1862.82,82339.2,9164.16,72962.64,244998.9
2022-03-29,3009.6,2750.22,79804.8,1914.3,45859.98,133338.9
2022-03-30,4665.6,599.94,19497.6,3561.12,10751.16,39075.42
2022-03-31,191746.08,7474.68,149155.2,18635.94,137595.24,504607.14
2022-04-01,62935.2,1945.44,80467.2,13165.02,54349.62,212862.48
2022-04-02,75784.32,896.94,30153.6,5695.38,18131.04,130661.28
2022-04-03,95330.88,1351.62,42969.6,7599.6,40155.06,187406.76
2022-04-04,2175.84,781.02,13075.2,1176.48,12786.06,29994.6
2022-04-05,663.84,1059.3,25228.8,401.76,18029.22,45382.92
2022-04-06,9087.84,740.88,15091.2,342.72,17405.22,42667.86
2022-04-07,50889.6,5375.7,95126.4,1582.56,89509.5,242483.76
2022-04-08,21342.24,545.4,4089.6,1499.22,8990.7,36467.16
2022-04-09,33330.24,500.22,8092.8,5729.94,13844.88,61498.08
2022-04-10,59575.68,1126.98,13651.2,8990.28,34760.94,118105.08
2022-04-11,13500,1691.28,67046.4,5713.38,31757.1,119708.16
2022-04-12,10766.88,433.26,1670.4,2917.08,2781.6,18569.22
2022-04-13,45658.08,4960.8,166636.8,2477.52,93595.68,313328.88
2022-04-14,126259.2,2807.1,401904,10110.06,162580.62,703660.98
2022-04-15,97839.36,4084.92,91324.8,14273.28,88072.2,295594.56
2022-04-16,69014.88,1222.2,31334.4,6340.5,22594.62,130506.6
2022-04-17,99642.24,3091.68,61920,2956.68,53999.28,221609.88
2022-04-18,51685.92,882.18,22579.2,830.52,21430.98,97408.8
