기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_계,기타,합계
2022-01-27,61.51077446,128.468538,0.0,128.5689112,217.1776733,206.2079812,299.637085,151.1868336,151.3844423,149.9032631,161.3243035,181.7729342,149.900743,209.016774,169.1110326,160.324637,135.0075958
2022-01-28,61.51077446,128.468538,0.0,128.5689112,217.1776733,206.2079812,299.637085,151.1868336,151.3844423,149.9032631,161.3243035,181.7729342,149.900743,209.016774,169.1110326,160.324637,135.0075958
2022-01-29,61.51077446,128.468538,0.0,128.5689112,217.1776733,206.2079812,299.637085,151.1868336,151.3844423,149.9032631,161.3243035,181.7729342,149.900743,209.016774,169.1110326,160.324637,135.0075958
2022-01-30,61.51077446,128.468538,0.0,128.5689112,217.1776733,206.2079812,299.637085,151.1868336,151.3844423,149.9032631,161.3243035,181.7729342,149.900743,209.016774,169.1110326,160.324637,135.0075958
2022-01-31,61.51077446,128.468538,0.0,128.5689112,217.1776733,206.2079812,299.637085,151.1868336,151.3844423,149.9032631,161.3243035,181.7729342,149.900743,209.016774,169.1110326,160.324637,135.0075958
2022-02-01,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-02,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-03,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-04,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-05,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-06,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-07,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-08,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-09,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-10,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-11,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-12,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-13,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-14,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-15,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-16,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-17,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-18,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-19,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-20,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-21,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-22,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-23,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-24,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-25,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-26,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-27,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
2022-02-28,67.89325523,145.4469685,0.0,145.5512718,277.7430286,247.0874365,287.6579804,193.4213819,194.892915,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,204.4560147,201.4628757,157.3895292
