top_word,count,label,confidence
방문,1,neutral,"{'negative': 0.07137624, 'positive': 0.024006356, 'neutral': 99.90462}"
레이스,2,positive,"{'negative': 0.007209876, 'positive': 85.712204, 'neutral': 14.280582}"
레이스,2,neutral,"{'negative': 0.018163238, 'positive': 0.0873857, 'neutral': 99.89445}"
제주시,5,negative,"{'negative': 99.85701, 'positive': 0.004721629, 'neutral': 0.1382701}"
선거구,2,neutral,"{'negative': 0.1511443, 'positive': 0.016227707, 'neutral': 99.83263}"
공항,3,neutral,"{'negative': 0.099834464, 'positive': 0.050561152, 'neutral': 99.8496}"
해법,2,neutral,"{'negative': 0.03378435, 'positive': 0.047223438, 'neutral': 99.91899}"
바람,9,neutral,"{'negative': 0.051408194, 'positive': 0.034536894, 'neutral': 99.914055}"
당한,1,neutral,"{'negative': 0.3143109, 'positive': 0.019024298, 'neutral': 99.666664}"
재생에너지,9,neutral,"{'negative': 0.07966965, 'positive': 6.769562, 'neutral': 93.15077}"
폐업,2,negative,"{'negative': 99.96503, 'positive': 0.009452357, 'neutral': 0.025522178}"
사고,1,positive,"{'negative': 0.04443883, 'positive': 99.87627, 'neutral': 0.07929532}"
민주,3,neutral,"{'negative': 0.06018687, 'positive': 0.04973087, 'neutral': 99.89008}"
기구,1,neutral,"{'negative': 0.03851259, 'positive': 0.02048342, 'neutral': 99.941}"
참가,2,neutral,"{'negative': 0.032647945, 'positive': 0.03523647, 'neutral': 99.93211}"
현대,5,neutral,"{'negative': 0.034214325, 'positive': 0.02347134, 'neutral': 99.942314}"
글로비스,6,neutral,"{'negative': 0.047645703, 'positive': 0.06312692, 'neutral': 99.88923}"
약속,2,neutral,"{'negative': 0.03965767, 'positive': 0.076090135, 'neutral': 99.884254}"
체계,3,positive,"{'negative': 0.05077299, 'positive': 78.982185, 'neutral': 20.967043}"
계획,7,neutral,"{'negative': 0.070707135, 'positive': 0.17453034, 'neutral': 99.75476}"
아래,1,neutral,"{'negative': 0.022315284, 'positive': 0.5310664, 'neutral': 99.44662}"
하루,2,positive,"{'negative': 0.025651647, 'positive': 82.53632, 'neutral': 17.43802}"
관리,4,neutral,"{'negative': 0.044698898, 'positive': 0.05645576, 'neutral': 99.89884}"
부상,1,positive,"{'negative': 0.036433663, 'positive': 99.95531, 'neutral': 0.0082584135}"
노트북,1,neutral,"{'negative': 0.16993372, 'positive': 0.05607433, 'neutral': 99.773994}"
어나더,3,positive,"{'negative': 0.02824448, 'positive': 99.88501, 'neutral': 0.08674255}"
그룹,2,positive,"{'negative': 0.030148415, 'positive': 99.953064, 'neutral': 0.016788915}"
해발,1,neutral,"{'negative': 0.12629747, 'positive': 0.30668682, 'neutral': 99.56702}"
무죄,1,positive,"{'negative': 0.031456072, 'positive': 85.06344, 'neutral': 14.905107}"
박차,1,neutral,"{'negative': 0.04766127, 'positive': 0.4311925, 'neutral': 99.52115}"
선발,1,neutral,"{'negative': 0.037090752, 'positive': 0.019611306, 'neutral': 99.9433}"
리더,2,positive,"{'negative': 0.012433294, 'positive': 99.87816, 'neutral': 0.10940595}"
영향,3,negative,"{'negative': 99.97077, 'positive': 0.01260667, 'neutral': 0.01662416}"
단층,1,neutral,"{'negative': 0.26068074, 'positive': 0.036630288, 'neutral': 99.70269}"
달라,2,neutral,"{'negative': 0.1304254, 'positive': 0.387687, 'neutral': 99.48189}"
과잉,1,negative,"{'negative': 99.65916, 'positive': 0.008177842, 'neutral': 0.33266163}"
생산,7,negative,"{'negative': 99.98023, 'positive': 0.008217256, 'neutral': 0.011551203}"
제어,3,neutral,"{'negative': 0.12827726, 'positive': 0.035438463, 'neutral': 99.83628}"
기온,1,neutral,"{'negative': 0.32066137, 'positive': 3.5133448, 'neutral': 96.16599}"
공직자,1,neutral,"{'negative': 0.06863956, 'positive': 5.2134533, 'neutral': 94.71791}"
계열,1,neutral,"{'negative': 0.1278091, 'positive': 0.06653681, 'neutral': 99.80566}"
중산,6,negative,"{'negative': 85.698074, 'positive': 0.025013212, 'neutral': 14.276912}"
중산,6,negative,"{'negative': 85.71466, 'positive': 0.2672773, 'neutral': 14.0180645}"
당선,2,neutral,"{'negative': 0.04913568, 'positive': 0.057098653, 'neutral': 99.89377}"
다짐,1,neutral,"{'negative': 0.05108587, 'positive': 0.059598465, 'neutral': 99.88931}"
야권,1,positive,"{'negative': 0.029238563, 'positive': 85.61046, 'neutral': 14.360307}"
기후,5,negative,"{'negative': 46.16302, 'positive': 43.215992, 'neutral': 10.620987}"
공약,3,negative,"{'negative': 99.98169, 'positive': 0.006518841, 'neutral': 0.011788038}"
목소리,2,neutral,"{'negative': 0.06444244, 'positive': 0.053868458, 'neutral': 99.88169}"
일정,1,neutral,"{'negative': 0.018731663, 'positive': 0.01816207, 'neutral': 99.963104}"
발굴,1,neutral,"{'negative': 0.017016368, 'positive': 0.26702848, 'neutral': 99.71596}"
년도,1,neutral,"{'negative': 0.016120479, 'positive': 0.050729644, 'neutral': 99.93315}"
부산,4,neutral,"{'negative': 0.049314223, 'positive': 0.06916456, 'neutral': 99.88152}"
경계,1,neutral,"{'negative': 1.5380223, 'positive': 0.14206146, 'neutral': 98.319916}"
자유통일,2,negative,"{'negative': 99.981995, 'positive': 0.008213105, 'neutral': 0.009791878}"
보수,1,negative,"{'negative': 99.97916, 'positive': 0.0070092855, 'neutral': 0.013833886}"
기재부,2,neutral,"{'negative': 0.054416254, 'positive': 0.41340646, 'neutral': 99.53218}"
기회,3,neutral,"{'negative': 0.12202914, 'positive': 0.13843508, 'neutral': 99.73953}"
소통,1,positive,"{'negative': 0.013594321, 'positive': 99.95825, 'neutral': 0.028150287}"
기관,1,neutral,"{'negative': 0.11283375, 'positive': 0.10396076, 'neutral': 99.7832}"
사해,1,negative,"{'negative': 99.96466, 'positive': 0.0040576267, 'neutral': 0.03128047}"
공정,1,neutral,"{'negative': 0.28663558, 'positive': 0.23137137, 'neutral': 99.481995}"
개선,2,positive,"{'negative': 0.013648374, 'positive': 99.96885, 'neutral': 0.017501913}"
갤러리,1,neutral,"{'negative': 0.028135542, 'positive': 0.05544164, 'neutral': 99.91642}"
