text,count
점,2
쟁점속,1
상권,2
돌봄,2
역점,1
와서,1
암,1
생겼다고,1
생각,1
하진,1
않아요,1
다만,1
이민,1
년차,1
만나다,3
소,4
확대,5
금천구,1
학교,3
밖,1
청소년,1
레이더,5
이변,1
없었다,1
김한규,6
곤,1
선행,1
대진표,1
올해,7
주제,1
나은,2
세상,3
단신,1
힘,2
대위,1
출범,2
미래세,1
초점,1
외,1
재난,1
취약,3
여성,2
빠졌다,1
창사,1
특집,1
대담,2
회복,1
최선,1
한덕수,1
총리,2
연내,1
행정,5
체제,3
투표,1
건의,1
발표,3
풀,1
뿌리,1
살려,1
보려고,1
지방,5
소멸,3
위기,5
브랜딩,1
주목,1
받겠다,1
우리,2
빛과,1
색,1
따스함이다,1
달성,3
시나리오,2
포토,3
조직개편,1
본부장,1
임명,1
인터뷰,5
변호인,1
법무부,1
장관,2
강금실,1
채용,1
하이난성,3
오키나와,1
자간,1
협의,4
체,2
발족,1
브이,1
젠,2
통합,1
발전소,4
서비스,2
동남아시아,1
진출,2
선점,3
활발,2
예비,2
김승욱,2
도민,3
삶,1
나아지도록,1
역할,1
할,5
것,4
문제,5
사라지나,1
입찰,4
제도,2
시범,2
운영,3
장사,1
잘,1
되는데,1
왜,4
이상순,1
직접,4
밝힌,1
카페,1
항로,1
막히면,1
달,2
못,4
버틴다,1
정유,1
주는,1
급등,1
유망,1
스타트업,1
중심,3
경남,1
벤,2
처,1
투자,4
생태계,4
대학,3
시민사회,1
캄보디아,4
시엠립,1
교류,8
거스,1
수,3
흐름,1
아시아,3
최초,8
무,3
만든다,1
트램,2
기지,1
만들고,1
목조건축,1
늘리고,1
별,2
동서,3
잰,1
걸음,1
공사,3
내,3
집,1
마련,6
문턱,1
낮춘다,1
국내,10
주민,3
반대,1
딛고,1
뒤,2
상생,3
모델,2
지정,2
속도,3
낸다,3
굳이,1
가서,1
책,1
사는,1
봉툿값,1
요금,2
동결,2
개사,1
다행,1
년대,1
그,1
사라진대,1
갑,2
토론회,3
대림,2
광철,1
치열,1
안전성,2
효율,1
향상,1
해양,3
레저,2
선박,1
용,3
프로펠러,2
사활,1
건,1
화공,1
청와대,1
게시판,1
떴다,1
윤,1
대통령,2
언제,1
공무원,3
붙잡기,1
안간힘,1
새,3
근무,3
짜는,1
지금,1
뉴스,2
김동연,2
추념,1
참석,1
은행,1
남무,1
기념,1
식수,1
농가,2
자양강장제,1
사갔죠,1
반값,1
채소,1
가능했다,1
저가,1
전성,1
달리는,1
공기청정기,1
다가올,1
준비,1
앰비언트,1
냈다,1
벤츠,1
테슬라,2
명품,1
타고,1
중문,1
누벼,1
볼까,2
혼,1
옵,1
서예,1
감면은,1
직원,2
거주,1
사무실,1
아닌,2
논란,5
강순,1
대접받지,1
대변,1
국회의원,1
되고,1
싶어,1
대규모,3
시민,2
단체,2
반발,2
차질,1
이행,1
역,2
동성,1
호,4
두산,1
너,1
빌리,1
티,1
맡는다,1
시스템,2
논의,7
명장,2
뽑는다,1
숙련,2
기술자,1
우대,1
서부,1
예상,1
양돈,1
퇴비,1
악취,1
될까,2
히트,1
시스,1
지열,1
홈,1
제품,1
보급,1
률,2
인증,1
글로벌,3
공략,1
가속,1
소음,2
수중,1
관광객,2
증대,2
기여,1
가상,1
활짝,1
세월호,1
참사,1
주기,2
유가족,1
주말,3
도심,1
행진,1
사회,3
비타민,1
검사,1
복용,1
불필요하다,1
테크,3
나우,1
앞바다,1
몰리는,1
카카오,3
조달,3
한국인,2
간첩죄,1
체포,1
용인,1
급소,1
건드려,1
희망,2
상임,2
위로,2
본,2
의정,2
활동,3
전장,1
차량,1
필름,1
국가,3
일찍,1
이상무,1
낙뢰,1
맞고,1
나빠도,1
가동,2
이런,1
바다,3
조명,2
피습,1
이후,1
행,1
심판,1
교통,2
정책,7
학회,2
춘계,2
학술,3
대회,2
나무,4
자리,1
심는,1
이상한,1
뉴욕,1
백남준,1
비디오,1
아트,2
새미,1
리,1
미디어,1
봉,2
이김,1
선달,1
신안,1
햇빛,2
연금,1
징수,1
호반,2
호텔,2
앤,2
리조트,4
편입,2
연속,1
호실,1
덕,1
환의,1
염불,1
교육부,1
규제,1
철폐,1
참여,1
한림,2
공고,1
특성화고,1
선정,1
항공우주,1
번지,1
열린,1
분권,1
불씨,1
피자,1
우수한,1
갖춘,1
찾아요,1
해양수산부,1
여개,1
문화,1
스포츠,1
축제,3
물결,1
전남도,2
극복,3
연료비,1
부담,2
덜겠네,1
성산,2
설치,4
보령,1
방조제,1
갯벌,1
복원,2
염생,1
식물,1
식재,1
도지사,1
간담,1
살아나고,1
어획,2
늘어,1
이진원,1
화공학,1
회장,1
추격,1
산,1
최대,3
물가,1
한결,1
복구,1
성금,1
전달,1
사와,1
모금,1
마을,4
부탁,1
시선,1
재생,5
시행착오,1
약,1
경로당,4
태양광,6
넣어,1
드려야겠어요,1
연합뉴스,1
시각,1
헤드라인,1
초대,1
석,1
도전,5
고물,1
바가지,1
시비,1
붙나,1
했더니,1
어째,1
유독,1
생선회,1
비싸다,1
했다,1
휴양,1
데일리안,1
종합,1
의대,2
증원,2
유예,1
근거,2
제시,4
먼저,1
교수,1
총장,1
소송,1
제기,1
요청,3
특별,1
특혜,2
확산,2
뉴스레터,1
김준우,1
정의당,2
진보,1
원칙,1
견,1
당,3
구도,1
깰,1
주시길,1
픽,1
숲,2
새소리,1
들리게,1
도평초,1
학생,2
심기,2
자치권,1
강화해야,1
시민단체,2
여야,1
입법,1
제안,1
불황,1
중기,1
발상,1
언론,1
사,1
어젠다,1
광역,4
음식,4
물류,2
폐기물,3
자원,2
시설,8
준공,1
분,2
거리,2
모든,1
생활,1
갖춘다,1
말씀,1
끓고,2
나도,1
발판,1
삼아,1
노린다,1
지방정부,2
번영,2
남아도,1
아이러니,1
블랙아웃,1
오,1
역사,1
유산,1
등재,1
출발,1
이자,1
주니어,2
생글,1
기자,2
간다,2
여러분,1
행복지수,1
얼마,2
건물,1
사람,1
밑그림,1
된다,1
타임,1
순직,1
소방,1
국립묘지,1
잠들다,1
합동,1
안장,1
거행,1
주소,1
산학,1
융합,2
도,2
우즈벡,1
국힘,1
주을,2
신인,1
신선함이,1
오히려,1
장점,1
다뤄,1
메가시티,1
역행,1
우려,1
한,1
중,1
가축,1
조건,1
부,1
통과,1
갈등,1
오후,1
여담,1
지법,1
앞두고,1
훼손,1
애월,2
축,1
토레스,1
타,1
보세요,1
환경부,1
의견,1
반영,1
포커스,1
대세,1
에너지정책,1
주거,2
주택,4
안정화,1
맞춤,1
거,1
안,1
늘리면,1
유권자,1
난리,1
납니다,1
히타치,1
코리아,3
대전,1
서,2
디지털,1
솔루션,1
선보여,1
거짓말,1
판매,1
가격,2
마진,2
상업,1
민관공,1
벤치마킹,1
줄이어,1
생태,1
도부,1
찾아,1
지지,1
호소,1
기금,2
회관,3
재선,1
일자리,1
예산,2
열,1
완도,1
늘어난,1
황,1
계측기,1
살펴보니,1
상론,1
수출,1
한판,2
승부,2
국토부,1
관,1
이사장,1
지낸,1
뭐라,1
했을까,1
요트,1
이어진,1
경북,1
포항,1
칭다오,1
다방면,1
씨월드,3
훼리,3
이어,2
온,2
투어,3
재개,1
주도,2
대화,1
장,1
연애,2
남매,1
역습,1
환승,1
재미없어진,1
있었다,1
저장,1
설비,3
양수발전,1
추가,2
건설,2
뒷받침,1
계통,1
수호,1
양수,1
국방부,1
산업부,1
산발,1
투입,2
샛노란,1
꽃,1
만발,1
봄,2
산호랑나비,1
날개,1
펼,1
멀지,1
않았다,1
촉구,1
효과,2
입증,1
성공,1
중동,1
날아오르는,1
재단,3
마친,1
캠퍼,1
트리,1
업그레이드,1
프로모션,1
카,1
스테이션,1
판교,2
조국,1
거대,1
접전,1
지민,1
비조,1
뚜렷하게,1
드러나,1
연구,1
용역,1
재,1
개그,1
발리는,1
발리,2
재밌는,1
이름,2
달려,1
승,1
관람객,1
몰렸지만,1
마감,1
육성,3
공급,1
특구,1
경쟁,2
대한민국,2
모바일,1
캠퍼스,1
나선다,2
조원,1
가보니,2
늘,2
없어요,1
하얼빈,1
크라,1
드론,1
공장,1
타격,1
영상,2
당선인,1
공감,2
견제,1
끄는,1
나라,2
만드는,1
차세대,2
원자로,1
정통부,1
와,1
제외,1
금호,1
책임,1
시공,1
더힐,1
테라스,1
기름값,3
민간,2
감시,1
무상,1
외국산,1
먹거리,2
국산,1
싸지만,1
악,1
금융,1
나눔,2
플랫폼,1
대창,1
모터,1
스,1
손잡고,1
휴맥스,1
투루차저,1
개소,1
돌파,1
바꾸는,1
안보,1
폐막,1
발짝,1
서해,1
바라보는,1
너그러운,1
돌부처,1
절,1
관음,1
성지,1
보문사,1
정용,1
마음대로,1
사찰,1
비경,1
성범죄,1
편이,1
되어줄,1
국선,1
변호사,1
있습니다,1
우정,1
부흥,1
이끌자,1
개편,3
박찬,3
차원,1
적극,2
성공예감,1
노란,1
깃발,1
필요없이,1
가이드,1
따라,1
가볼까,1
송이,1
불안한,1
손질,1
안덕,1
서민,1
연료,1
안전,3
변동성,1
해답,1
층,1
실현,1
스트레이트,1
오픈,1
런,1
버려진,1
방부제,1
골퍼,1
신지애,1
파리올림픽,1
위대한,1
넘치는,3
타는,1
붙잡고,1
싶은,1
원격,1
전날,1
잡다,1
자동차,1
보유,1
율,2
사는데,1
차는,1
만대,1
넘는다,1
꿈낭,1
복판,1
울려,1
퍼진,1
잊지,1
않겠습니다,1
민주주의,1
인권,1
생생,1
플러스,2
하원,1
노린,1
틱톡,1
금지,1
실상,1
이스라엘,1
하마스,1
때문,1
협조,1
앙코르왓,1
트,1
직항,3
