일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2022-04-01,2043.2,2226.4,1287.504,444.76,0,6001.864
2022-04-02,3147.8,2594.624,1335.816,510.92,0,7589.16
2022-04-03,3265,2745.664,1139.04,546.68,0,7696.384
2022-04-04,3032.4,2668.288,1123.128,505.36,0,7329.176
2022-04-05,2173.4,1987.488,880.848,414.56,0,5456.296
2022-04-06,3027.8,2575.552,1132.488,517,0,7252.84
2022-04-07,2968.4,2344.352,1058.04,479.72,0,6850.512
2022-04-08,3025.6,2653.248,1114.128,498.32,0,7291.296
2022-04-09,2949.6,2628,1109.52,510.96,0,7198.08
2022-04-10,2475.2,2104.032,856.368,377.08,0,5812.68
2022-04-11,1835,2490.72,920.52,394.04,0,5640.28
2022-04-12,2790.8,2496.896,1036.152,488.24,0,6812.088
2022-04-13,1018.2,1784.736,514.296,264.48,0,3581.712
2022-04-14,179.6,271.744,113.616,83.28,0,648.24
2022-04-15,2048,1831.808,740.592,321.08,0,4941.48
2022-04-16,3122.6,2570.336,1082.376,501.96,0,7277.272
2022-04-17,3213.2,2722.208,1144.008,567.48,0,7646.896
2022-04-18,2170,1744.64,722.952,356.56,0,4994.152
2022-04-19,2919,2473.312,1027.008,518.48,0,6937.8
2022-04-20,2925.2,2529.92,1104.696,520.4,0,7080.216
2022-04-21,1557,1413.28,458.136,213.96,0,3642.376
2022-04-22,2971.8,2486.624,1059.48,492.52,0,7010.424
2022-04-23,970.4,1110.272,186.768,112.2,0,2379.64
2022-04-24,2249,2194.592,386.28,333.76,0,5163.632
2022-04-25,1661.4,2083.616,611.712,327.68,0,4684.408
2022-04-26,406.6,241.888,48.744,51.12,0,748.352
2022-04-27,2875.4,2379.552,891.792,463.32,0,6610.064
2022-04-28,2642.4,2312.96,906.912,471.56,0,6333.832
2022-04-29,663.4,675.392,282.888,167.4,0,1789.08
2022-04-30,2123.6,2321.12,935.352,451.44,0,5831.512
2022-05-01,3229.6,2689.344,270.648,564.88,0,6754.472
2022-05-02,3040.6,2289.504,909.36,523.32,0,6762.784
2022-05-03,2632.8,2512.096,935.496,545.04,0,6625.432
2022-05-04,3161.8,2666.72,935.352,546.16,0,7310.032
